cluster	x	y	z	intensity	temperature	label
Hydra	-11.7701	-48.4204	-31.5237	59.743	382.5921	Hydra-00755
Orion	-41.126	10.7371	3.398	46.906	369.833	Orion-00756
Lyra	15.9583	-31.8609	32.5286	53.1598	382.4709	Lyra-00757
Cygnus	58.6958	27.8342	-33.97	80.462	412.8991	Cygnus-00758
Hydra	-19.4473	-54.8625	-21.8582	67.1717	398.5302	Hydra-00759
Orion	-41.0968	18.7067	0.8365	53.6846	372.3824	Orion-00760
Lyra	13.3892	-13.9846	52.9335	60.077	385.0011	Lyra-00761
Cygnus	42.3391	17.8709	-20.2282	57.7238	387.4947	Cygnus-00762
Hydra	-16.1571	-41.9587	-29.5574	61.4698	379.4784	Hydra-00763
Orion	-14.1112	7.9042	1.8396	18.8943	315.8361	Orion-00764
Lyra	25.3694	-29.4253	42.3798	60.4712	381.9952	Lyra-00765
Cygnus	64.6896	38.7373	-13.6835	84.7337	437.4253	Cygnus-00766
Hydra	-23.6888	-35.9686	-40.9649	64.6968	393.0326	Hydra-00767
Orion	-53.8668	13.8527	6.9313	56.0932	386.7696	Orion-00768
Lyra	21.2486	-22.7251	43.1288	60.7402	382.9229	Lyra-00769
Cygnus	62.1798	37.2571	-19.0615	78.1804	416.0812	Cygnus-00770
Hydra	-22.1184	-36.9331	-28.909	59.4317	394.2978	Hydra-00771
Orion	-38.3462	14.408	5.0377	49.2493	367.5219	Orion-00772
Lyra	25.0592	-29.3076	55.8905	68.1825	403.5621	Lyra-00773
Cygnus	41.8382	23.952	-45.1196	70.994	400.7905	Cygnus-00774
Hydra	-65.8217	-56.7169	-54.1429	105.6679	472.01	Hydra-00775
Orion	-37.8024	37.8338	10.8896	58.7626	380.8242	Orion-00776
Lyra	12.4718	-31.447	33.0915	54.9553	378.799	Lyra-00777
Cygnus	57.5691	19.1472	-19.9764	67.8899	408.4264	Cygnus-00778
Hydra	-6.9373	-27.4516	-46.9596	61.4587	377.3809	Hydra-00779
Orion	-52.8399	18.9021	14.2657	58.4696	392.0515	Orion-00780
Lyra	18.4622	-28.8226	50.4142	64.1872	408.1555	Lyra-00781
Cygnus	38.2948	31.2691	6.8396	52.8268	379.9344	Cygnus-00782
Hydra	-23.0867	-59.6027	-22.4094	70.1021	396.1927	Hydra-00783
Orion	-47.0506	16.844	7.9855	56.4888	376.9749	Orion-00784
Lyra	26.8728	-38.8911	31.1136	61.2399	399.4063	Lyra-00785
Cygnus	40.2288	42.5371	-35.4905	73.902	413.5912	Cygnus-00786
Hydra	-24.3233	-46.0584	-31.9612	66.902	402.4968	Hydra-00787
Orion	-40.0623	24.2857	0.7168	47.9189	373.5172	Orion-00788
Lyra	24.0587	-11.2857	41.4785	53.5704	369.6695	Lyra-00789
Cygnus	55.119	35.7257	-23.6435	70.1983	405.2499	Cygnus-00790
Hydra	-22.5111	-47.7958	-35.4368	68.7661	402.5455	Hydra-00791
Orion	-35.0906	20.0259	20.8891	50.8776	385.2634	Orion-00792
Lyra	19.1175	-31.6361	41.4306	58.0742	375.8605	Lyra-00793
Cygnus	63.8367	34.1822	-4.794	74.106	412.8436	Cygnus-00794
Hydra	-9.7523	-57.9374	-28.3843	66.8866	389.7103	Hydra-00795
Orion	-47.7322	10.8092	10.2486	54.0835	371.9262	Orion-00796
Lyra	12.1006	-35.5557	39.411	56.2624	383.1684	Lyra-00797
Cygnus	59.3996	22.779	-28.6886	70.6537	408.8258	Cygnus-00798
Hydra	-30.9982	-44.4112	-19.9273	62.239	394.5804	Hydra-00799
Orion	-33.0562	24.512	20.5249	53.4348	382.1433	Orion-00800
Lyra	36.9239	-40.6315	36.7644	69.4085	399.0578	Lyra-00801
Cygnus	67.8827	32.3327	-22.4653	85.58	444.7577	Cygnus-00802
Hydra	-31.3176	-36.1498	-35.0835	65.5869	387.9118	Hydra-00803
Orion	-35.5929	21.6128	2.8356	49.4689	369.6688	Orion-00804
Lyra	17.3908	-17.388	39.9775	53.3183	378.0818	Lyra-00805
Cygnus	56.0659	19.3013	-24.2648	69.9589	406.4123	Cygnus-00806
Hydra	-21.5005	-52.7929	-37.4501	74.0688	415.973	Hydra-00807
Orion	-42.5185	36.1688	3.4843	58.4098	387.7826	Orion-00808
Lyra	12.0895	-46.2995	27.6113	59.5888	392.7055	Lyra-00809
Cygnus	41.1374	39.0788	-25.2405	65.2001	402.4938	Cygnus-00810
Hydra	-24.5836	-64.3414	-22.5524	79.2064	415.6144	Hydra-00811
Orion	-54.4424	21.4714	14.7059	63.9479	398.6511	Orion-00812
Lyra	14.6485	-22.8169	39.7606	49.5724	360.347	Lyra-00813
Cygnus	54.0588	28.8083	-20.677	72.9842	413.1927	Cygnus-00814
Hydra	-21.8651	-44.6706	-33.2747	60.1792	390.7349	Hydra-00815
Orion	-69.1285	37.2976	1.9755	84.9777	428.1812	Orion-00816
Lyra	-5.8626	-46.098	51.231	73.1173	403.8529	Lyra-00817
Cygnus	59.3895	45.3258	-21.5284	78.0522	415.8487	Cygnus-00818
Hydra	-26.3005	-50.7937	-33.4818	66.6023	403.5166	Hydra-00819
Orion	-41.9846	18.1822	27.4389	60.3668	405.6625	Orion-00820
Lyra	14.6208	-24.2585	34.4998	51.2696	368.5543	Lyra-00821
Cygnus	57.5656	30.6801	-29.0725	79.6513	434.3989	Cygnus-00822
Hydra	-36.6953	-24.8877	-36.4793	59.1675	394.5813	Hydra-00823
Orion	-25.9177	11.9175	11.1557	31.5883	342.9793	Orion-00824
Lyra	31.9649	-26.7105	65.6809	86.3869	431.9624	Lyra-00825
Cygnus	64.0856	20.2547	-35.1531	84.5427	427.9893	Cygnus-00826
Hydra	-33.0521	-51.0472	-33.0081	73.3235	396.7013	Hydra-00827
Orion	-55.5891	20.7389	16.4951	62.1899	392.452	Orion-00828
Lyra	-3.7669	-53.0967	40.7754	69.8944	401.9219	Lyra-00829
Cygnus	67.5758	25.6477	-4.3463	74.6441	415.0516	Cygnus-00830
Hydra	-1.0238	-37.0166	-31.9665	57.3023	380.992	Hydra-00831
Orion	-55.5082	19.6035	19.9362	70.6764	404.2897	Orion-00832
Lyra	13.3901	-44.6216	39.0612	67.4149	401.372	Lyra-00833
Cygnus	57.5166	25.2828	-23.1628	72.5292	414.9017	Cygnus-00834
Hydra	-15.2118	-42.6732	-21.923	56.3	377.0107	Hydra-00835
Orion	-56.8364	7.6905	9.1423	62.419	391.8999	Orion-00836
Lyra	10.3639	-39.0578	67.2526	86.278	434.1254	Lyra-00837
Cygnus	13.8364	30.8121	-16.704	39.6798	348.9731	Cygnus-00838
Hydra	-22.3232	-47.8081	-29.5765	65.3541	391.1181	Hydra-00839
Orion	-50.5024	17.8942	10.2137	63.3323	390.5724	Orion-00840
Lyra	17.6232	-39.0124	43.5236	62.9447	392.4419	Lyra-00841
Cygnus	44.833	25.354	-30.403	64.7464	393.5155	Cygnus-00842
Hydra	-16.9464	-35.5923	-41.282	61.5695	387.0896	Hydra-00843
Orion	-37.2039	33.1541	-2.9416	52.4363	382.8526	Orion-00844
Lyra	24.0749	-25.7818	36.4217	51.6023	370.9002	Lyra-00845
Cygnus	51.6596	37.5105	-36.3505	74.7776	417.0269	Cygnus-00846
Hydra	-13.3204	-46.9826	-32.4191	63.112	390.0877	Hydra-00847
Orion	-23.4832	17.5868	-1.1592	36.4296	344.5513	Orion-00848
Lyra	16.8113	-20.6944	35.577	50.6739	368.7122	Lyra-00849
Cygnus	72.7061	35.2459	-39.0351	93.7827	450.0513	Cygnus-00850
Hydra	-24.0381	-37.7918	-57.5808	75.2687	410.3359	Hydra-00851
Orion	-35.1392	18.6876	32.4528	53.1441	364.2499	Orion-00852
Lyra	2.201	-38.7696	54.1173	69.8039	414.9407	Lyra-00853
Cygnus	48.439	22.0355	-26.3137	62.7956	380.4802	Cygnus-00854
Hydra	-21.0609	-35.5175	-30.9196	58.8551	388.8084	Hydra-00855
Orion	-49.7704	28.1601	-4.0625	57.9709	379.2726	Orion-00856
Lyra	25.3699	-25.3352	40.5926	56.5669	386.3668	Lyra-00857
Cygnus	46.8486	22.685	-45.5339	72.4258	414.4247	Cygnus-00858
Hydra	-48.1608	-60.6653	-40.4723	87.6022	439.6518	Hydra-00859
Orion	-44.9977	0.9402	30.4014	55.0338	375.6539	Orion-00860
Lyra	22.9764	-28.2516	57.9948	73.4156	416.9565	Lyra-00861
Cygnus	62.4445	30.2632	-24.6749	76.0101	414.3276	Cygnus-00862
Hydra	-9.3808	-35.8161	-28.0624	48.6839	364.2285	Hydra-00863
Orion	-45.4569	30.6807	25.0432	60.5465	397.3987	Orion-00864
Lyra	8.0976	-48.0958	38.3319	70.808	413.5297	Lyra-00865
Cygnus	42.5044	26.8113	-54.4272	80.3582	430.03	Cygnus-00866
Hydra	-9.2701	-31.8484	-46.2975	62.0295	385.3978	Hydra-00867
Orion	-54.0108	16.5733	9.4978	62.1462	397.0194	Orion-00868
Lyra	24.4648	-38.7438	39.7248	63.3759	397.5526	Lyra-00869
Cygnus	72.3744	29.009	-20.1368	84.7527	428.0571	Cygnus-00870
Hydra	8.0817	-44.9086	-23.1708	51.2582	370.0297	Hydra-00871
Orion	-51.4895	21.547	12.1552	60.4871	389.594	Orion-00872
Lyra	6.1736	-23.6529	38.4208	52.1723	376.1103	Lyra-00873
Cygnus	42.0316	36.2848	-26.0861	63.5053	400.5735	Cygnus-00874
Hydra	-16.2986	-60.8589	-30.0212	72.3527	401.7093	Hydra-00875
Orion	-42.7694	4.1598	-1.8715	44.6536	366.4952	Orion-00876
Lyra	17.3059	-19.3673	38.5977	52.1275	370.606	Lyra-00877
Cygnus	53.8717	30.6923	-13.1469	65.0534	399.3742	Cygnus-00878
Hydra	-10.0242	-41.2235	-37.8291	58.9364	376.6459	Hydra-00879
Orion	-32.7302	28.2998	6.4144	50.9363	376.0293	Orion-00880
Lyra	37.3186	-31.1671	46.9329	75.1697	410.1141	Lyra-00881
Cygnus	55.7545	28.3091	-24.5429	71.4052	406.2501	Cygnus-00882
Hydra	-11.5077	-32.3348	-27.6202	45.1526	351.0028	Hydra-00883
Orion	-41.0926	11.6609	13.3199	51.3823	366.0551	Orion-00884
Lyra	33.5654	-28.8516	45.6065	72.3922	403.0879	Lyra-00885
Cygnus	34.2484	31.5865	-28.6804	60.3729	393.573	Cygnus-00886
Hydra	12.9001	-39.2898	-42.9717	65.3844	397.0908	Hydra-00887
Orion	-32.3229	41.1918	17.8429	56.3328	378.2212	Orion-00888
Lyra	15.947	-35.4655	46.9518	62.0407	395.8607	Lyra-00889
Cygnus	53.3105	28.0106	-11.0034	65.4957	400.6296	Cygnus-00890
Hydra	-26.3563	-50.618	-29.4516	65.0428	398.9509	Hydra-00891
Orion	-61.6336	3.5	26.0955	67.5598	401.4478	Orion-00892
Lyra	8.9721	-43.3368	45.4631	65.5407	394.9666	Lyra-00893
Cygnus	76.816	26.7966	-24.0986	88.7984	428.9887	Cygnus-00894
Hydra	-10.1601	-29.254	-38.3037	57.3444	385.7307	Hydra-00895
Orion	-51.0793	18.6727	8.8291	56.8053	391.1585	Orion-00896
Lyra	24.412	-24.511	43.2661	62.8779	388.3944	Lyra-00897
Cygnus	64.5145	23.5111	-20.165	74.2258	415.067	Cygnus-00898
Hydra	-18.9264	-37.1852	-19.6528	49.5328	369.1977	Hydra-00899
Orion	-41.0363	19.7982	23.783	53.5453	368.2541	Orion-00900
Lyra	17.389	-46.6804	32.6261	64.2641	394.2356	Lyra-00901
Cygnus	34.4887	29.2281	-33.5175	62.0457	388.2295	Cygnus-00902
Hydra	-10.0481	-40.706	-21.1632	48.1341	371.2765	Hydra-00903
Orion	-37.5198	14.3473	8.2365	46.1443	363.3108	Orion-00904
Lyra	28.9669	-41.579	29.9225	61.1528	388.5684	Lyra-00905
Cygnus	42.4664	38.396	-4.0421	59.2719	392.6531	Cygnus-00906
Hydra	-44.3805	-44.8592	-16.7513	65.8348	403.6942	Hydra-00907
Orion	-71.9855	8.8459	2.1846	78.9358	424.986	Orion-00908
Lyra	26.1303	-39.2277	48.7052	70.5127	407.502	Lyra-00909
Cygnus	73.32	23.1017	-15.2529	83.1569	435.2086	Cygnus-00910
Hydra	-13.6799	-37.3567	-33.9097	53.8837	385.3977	Hydra-00911
Orion	-42.0553	9.2661	22.3188	51.7256	378.3748	Orion-00912
Lyra	4.4699	-27.4911	48.5053	57.5566	381.1678	Lyra-00913
Cygnus	43.699	34.2956	-3.5288	59.649	405.4425	Cygnus-00914
Hydra	-25.0948	-38.4231	-23.5244	54.9156	378.5631	Hydra-00915
Orion	-40.619	5.6366	9.3674	47.1328	356.7173	Orion-00916
Lyra	24.254	-19.7115	49.067	66.8302	398.2383	Lyra-00917
Cygnus	43.9395	31.4817	-28.5071	66.4719	382.716	Cygnus-00918
Hydra	-51.2011	-48.9508	-36.4817	81.6754	431.82	Hydra-00919
Orion	-40.5072	16.4747	18.7249	50.0532	361.8384	Orion-00920
Lyra	5.8651	-35.2446	49.6744	61.5289	389.1907	Lyra-00921
Cygnus	48.426	33.6775	-35.4967	70.9393	413.5674	Cygnus-00922
Hydra	-15.5965	-50.7622	-57.0021	84.5141	440.0244	Hydra-00923
Orion	-44.4924	6.0987	18.4416	54.7539	388.482	Orion-00924
Lyra	2.5586	-38.6616	38.2116	60.9957	386.9356	Lyra-00925
Cygnus	49.2189	27.4279	-10.2096	60.3941	392.2547	Cygnus-00926
Hydra	-13.0866	-54.758	-20.2923	61.8859	382.4509	Hydra-00927
Orion	-51.7985	6.8048	30.936	64.1584	396.2317	Orion-00928
Lyra	19.669	-28.0297	37.471	55.282	378.6596	Lyra-00929
Cygnus	53.8589	32.7028	-26.4685	72.3541	404.2833	Cygnus-00930
Hydra	-26.3293	-50.5365	-32.9318	69.3644	409.7433	Hydra-00931
Orion	-39.3347	20.3341	9.6254	48.9066	367.2038	Orion-00932
Lyra	31.7067	-25.9287	44.7233	61.8586	388.2096	Lyra-00933
Cygnus	40.5442	25.1056	-28.8321	61.2702	387.0466	Cygnus-00934
Hydra	-18.8507	-53.5366	-16.9228	62.1382	396.3699	Hydra-00935
Orion	-36.7642	15.8371	6.1329	43.6321	352.9861	Orion-00936
Lyra	12.561	-16.8241	54.7284	67.5065	402.2869	Lyra-00937
Cygnus	33.7479	15.2102	-28.8838	47.3565	366.4382	Cygnus-00938
Hydra	-15.3607	-50.6241	-43.795	76.3535	424.6331	Hydra-00939
Orion	-39.314	19.8323	31.9088	62.1978	387.6303	Orion-00940
Lyra	21.82	-32.3911	42.3093	61.6298	388.1991	Lyra-00941
Cygnus	61.5268	29.9817	-32.1843	80.3419	423.6573	Cygnus-00942
Hydra	-18.8494	-33.5206	-34.8224	58.1687	381.4176	Hydra-00943
Orion	-22.792	19.7834	10.0379	33.3388	338.4784	Orion-00944
Lyra	17.819	-19.2741	42.197	55.5879	378.7201	Lyra-00945
Cygnus	62.4313	29.3955	-27.1631	80.1002	435.8056	Cygnus-00946
Hydra	-16.6389	-47.2464	-25.0642	58.092	378.1371	Hydra-00947
Orion	-65.1903	35.2685	19.1015	84.3418	434.8753	Orion-00948
Lyra	13.0776	-32.2736	31.8788	55.548	379.9592	Lyra-00949
Cygnus	63.1602	30.1042	-35.4851	81.9923	426.5928	Cygnus-00950
Hydra	-10.5574	-36.9969	-44.6542	61.0684	396.6641	Hydra-00951
Orion	-32.0675	16.907	15.934	47.5068	357.7278	Orion-00952
Lyra	34.5004	-39.889	54.3657	78.265	422.2824	Lyra-00953
Cygnus	66.0182	43.6628	-27.1714	87.1246	434.6794	Cygnus-00954
Hydra	-2.5683	-49.1197	-39.0953	64.9946	393.9325	Hydra-00955
Orion	-22.8374	39.8853	20.256	55.1065	376.3107	Orion-00956
Lyra	22.9936	-25.2753	23.4673	49.2152	365.8212	Lyra-00957
Cygnus	44.7227	46.0374	-31.7851	80.5842	424.5695	Cygnus-00958
Hydra	-13.2945	-46.5774	-18.9259	54.8612	373.2806	Hydra-00959
Orion	-63.7059	11.4583	17.3318	74.9251	418.417	Orion-00960
Lyra	18.424	-45.2106	50.9213	74.2451	409.3983	Lyra-00961
Cygnus	27.7733	36.5529	-6.5764	48.84	359.2955	Cygnus-00962
Hydra	-16.9127	-50.7028	-26.5982	65.2094	406.7068	Hydra-00963
Orion	-43.861	31.9989	13.0298	62.0209	395.9678	Orion-00964
Lyra	6.8537	-17.19	29.1258	39.9501	352.9485	Lyra-00965
Cygnus	51.0554	22.6053	-19.8491	60.4967	383.3046	Cygnus-00966
Hydra	-17.1495	-44.1731	-33.8685	60.6734	388.1729	Hydra-00967
Orion	-56.8317	25.2155	27.4101	68.5436	402.6328	Orion-00968
Lyra	51.2022	-42.9115	51.8393	87.4839	432.3107	Lyra-00969
Cygnus	43.8639	30.9973	-27.6464	67.0266	401.6349	Cygnus-00970
Hydra	-26.6078	-39.5638	-48.9089	73.6476	406.1942	Hydra-00971
Orion	-71.4857	14.2289	15.5486	78.5925	414.3851	Orion-00972
Lyra	22.1642	-32.7722	52.9462	69.6556	405.1904	Lyra-00973
Cygnus	51.8686	19.3142	-36.6376	66.8191	399.4178	Cygnus-00974
Hydra	-20.7171	-37.7872	-39.783	62.8016	403.6392	Hydra-00975
Orion	-56.0781	23.9666	23.4349	66.6127	402.3354	Orion-00976
Lyra	27.636	-40.6719	43.082	72.3845	407.3948	Lyra-00977
Cygnus	72.4102	22.6071	-16.9283	81.7811	431.8637	Cygnus-00978
Hydra	-9.5596	-31.9092	-35.9887	53.1306	371.7156	Hydra-00979
Orion	-42.0067	28.4319	23.021	62.1691	386.0074	Orion-00980
Lyra	24.3448	-28.3727	36.5239	56.9798	384.3448	Lyra-00981
Cygnus	39.0802	38.9316	-47.3818	76.1266	415.9531	Cygnus-00982
Hydra	-32.4619	-35.2182	-22.9312	59.0389	382.212	Hydra-00983
Orion	-27.1081	34.417	19.4693	51.7182	381.6305	Orion-00984
Lyra	12.4995	-13.671	28.3225	34.9003	345.61	Lyra-00985
Cygnus	59.668	34.7941	-31.9805	80.2438	421.2476	Cygnus-00986
Hydra	-11.454	-52.7154	-18.6899	59.2322	387.0666	Hydra-00987
Orion	-51.1757	13.4148	9.1517	59.0913	387.6702	Orion-00988
Lyra	21.4407	-20.3895	35.446	53.5993	371.2418	Lyra-00989
Cygnus	59.242	30.5851	-26.5719	79.4558	421.6731	Cygnus-00990
Hydra	-29.9583	-62.6495	-41.3839	81.2811	439.1837	Hydra-00991
Orion	-49.3879	21.398	4.3488	60.2231	381.124	Orion-00992
Lyra	-0.2785	-42.5638	50.1791	71.0111	413.7582	Lyra-00993
Cygnus	56.4154	27.7452	-27.1629	71.8963	414.8931	Cygnus-00994
Hydra	-8.843	-42.6831	-40.5553	60.749	387.7907	Hydra-00995
Orion	-44.8787	11.6509	0.9703	52.639	373.5124	Orion-00996
Lyra	16.7605	-33.8803	42.1998	65.5381	389.588	Lyra-00997
Cygnus	33.8834	30.5754	4.3482	48.4305	360.084	Cygnus-00998
Hydra	-27.1962	-51.9968	-72.0702	96.1223	449.916	Hydra-00999
Orion	-29.1042	28.9465	-5.8559	45.8963	361.5659	Orion-01000
Lyra	25.9687	-22.5656	38.6995	51.7948	357.0884	Lyra-01001
Cygnus	66.1907	30.6026	-13.1287	81.2913	434.1864	Cygnus-01002
Hydra	-7.1026	-46.0555	-39.9118	67.0931	407.4186	Hydra-01003
Orion	-34.2712	18.4396	8.4889	42.6021	367.0786	Orion-01004
Lyra	9.8788	-31.3742	60.6537	72.0708	410.0791	Lyra-01005
Cygnus	49.9861	14.1414	-17.7642	57.8759	384.8551	Cygnus-01006
Hydra	-29.4645	-31.1251	-14.3438	51.0068	366.4234	Hydra-01007
Orion	-53.8601	19.1081	19.1507	63.2885	389.2479	Orion-01008
Lyra	23.0858	-38.6944	43.2671	65.1621	385.9123	Lyra-01009
Cygnus	51.5623	21.7488	-31.1122	70.198	405.4396	Cygnus-01010
Hydra	-10.5919	-64.4227	-50.1191	84.8309	445.3129	Hydra-01011
Orion	-6.6151	23.6166	-2.7452	29.8176	325.4387	Orion-01012
Lyra	6.9389	-21.6424	57.0288	67.7382	394.4011	Lyra-01013
Cygnus	51.5386	31.7251	-37.7901	73.4887	415.9033	Cygnus-01014
Hydra	-37.9116	-41.0344	-32.6742	65.7304	403.291	Hydra-01015
Orion	-38.4037	5.1076	19.6792	43.6779	355.2544	Orion-01016
Lyra	8.6627	-29.9206	51.6359	66.8958	413.0723	Lyra-01017
Cygnus	33.2372	26.6354	-12.3256	51.7397	382.6605	Cygnus-01018
Hydra	-0.5099	-51.7418	-22.1811	60.4324	395.9137	Hydra-01019
Orion	-45.7404	5.117	39.4699	66.8155	400.6275	Orion-01020
Lyra	15.8229	-33.7877	40.1722	59.5102	387.4994	Lyra-01021
Cygnus	49.0179	24.0502	-30.6563	70.6469	404.7339	Cygnus-01022
Hydra	-20.6821	-41.5049	-35.2112	62.1957	397.1397	Hydra-01023
Orion	-37.5703	21.2307	11.7619	50.3347	371.643	Orion-01024
Lyra	13.1665	-31.5551	38.8055	52.9939	379.6336	Lyra-01025
Cygnus	50.0955	21.1217	-24.8631	65.3012	399.8477	Cygnus-01026
Hydra	-25.7927	-36.0023	-24.8615	56.8685	387.2994	Hydra-01027
Orion	-38.1756	20.4019	4.8446	48.9206	369.7368	Orion-01028
Lyra	7.5012	-38.1185	40.796	59.1467	378.576	Lyra-01029
Cygnus	59.1841	18.0323	-29.8815	77.4714	412.9363	Cygnus-01030
Hydra	-17.5743	-55.4346	-22.6391	70.6822	415.3196	Hydra-01031
Orion	-54.4955	20.0194	5.6615	62.5203	383.882	Orion-01032
Lyra	22.0277	-23.8837	53.7514	71.0239	401.4751	Lyra-01033
Cygnus	36.5738	39.5854	-35.6079	72.537	401.4534	Cygnus-01034
Hydra	-21.4695	-45.161	-45.7026	71.8947	410.2724	Hydra-01035
Orion	-35.065	28.2133	8.9392	46.8116	362.3498	Orion-01036
Lyra	27.9986	-43.3892	38.4935	71.5392	416.4896	Lyra-01037
Cygnus	42.5573	27.2565	-35.936	66.9432	404.8217	Cygnus-01038
Hydra	-6.7767	-47.4862	-43.9591	70.3823	415.952	Hydra-01039
Orion	-39.1226	7.4891	15.1919	44.757	353.2438	Orion-01040
Lyra	18.1415	-34.7376	58.0346	74.407	410.633	Lyra-01041
Cygnus	39.3566	21.8634	-47.2462	66.8478	396.544	Cygnus-01042
Hydra	-14.8944	-46.7069	-23.4731	61.2962	397.2814	Hydra-01043
Orion	-50.0516	24.1322	10.0685	63.8236	392.6741	Orion-01044
Lyra	38.3002	-42.8565	43.8844	73.6353	412.4567	Lyra-01045
Cygnus	61.4211	38.1771	-35.1842	82.1847	432.9565	Cygnus-01046
Hydra	-22.5788	-53.9809	-55.8921	83.6585	424.9162	Hydra-01047
Orion	-28.3846	13.9492	22.8122	39.7992	351.0365	Orion-01048
Lyra	63.8149	-29.2511	38.5195	82.7209	430.6724	Lyra-01049
Cygnus	45.6965	35.2832	-14.1003	66.8165	403.3344	Cygnus-01050
Hydra	-29.9913	-34.2913	-29.9664	60.8485	386.2435	Hydra-01051
Orion	-49.2621	22.5494	5.3354	59.3459	390.7735	Orion-01052
Lyra	14.1436	-39.9493	47.7531	72.1666	415.3723	Lyra-01053
Cygnus	56.9006	24.0803	-8.6923	63.6032	394.343	Cygnus-01054
Hydra	-15.8217	-45.1565	-36.4491	64.0802	388.5271	Hydra-01055
Orion	-35.862	17.6978	3.7314	44.2692	354.8354	Orion-01056
Lyra	23.8034	-39.9855	39.8394	65.8433	400.2181	Lyra-01057
Cygnus	43.1412	26.3246	-28.265	63.3468	397.0593	Cygnus-01058
Hydra	-36.0168	-53.6824	-33.0993	76.3239	424.4405	Hydra-01059
Orion	-52.5928	15.4705	24.9201	66.5631	398.7536	Orion-01060
Lyra	31.9252	-23.4719	41.7856	64.1679	392.4099	Lyra-01061
Cygnus	91.8065	25.7855	-22.6112	98.7072	451.0728	Cygnus-01062
Hydra	-13.1542	-49.2105	-54.629	83.3367	431.7062	Hydra-01063
Orion	-31.3744	22.5406	13.9066	41.5338	349.8022	Orion-01064
Lyra	11.834	-19.9952	34.2522	45.6123	363.5003	Lyra-01065
Cygnus	51.8813	20.2303	-9.0834	59.0249	383.6131	Cygnus-01066
Hydra	7.5265	-41.3913	-34.0586	59.2017	376.8952	Hydra-01067
Orion	-28.8052	22.2885	13.7358	47.8387	367.816	Orion-01068
Lyra	27.8826	-45.1937	42.8735	72.8003	413.4642	Lyra-01069
Cygnus	60.0202	21.4159	-18.0443	73.9525	416.7199	Cygnus-01070
Hydra	-13.8823	-45.7052	-29.4815	57.4927	390.6341	Hydra-01071
Orion	-58.3287	22.5502	11.0905	67.8761	411.4742	Orion-01072
Lyra	27.4036	-46.981	41.8773	69.9488	408.0108	Lyra-01073
Cygnus	59.1212	26.8421	-56.971	93.3133	448.4494	Cygnus-01074
Hydra	-16.9748	-35.1904	-38.8923	61.7375	387.9863	Hydra-01075
Orion	-52.9684	30.8985	12.2025	64.0326	392.281	Orion-01076
Lyra	11.0406	-25.1147	43.4856	56.2091	371.1535	Lyra-01077
Cygnus	43.3213	36.2894	-29.0917	71.3933	409.0422	Cygnus-01078
Hydra	3.7332	-44.7016	-45.8457	72.7963	413.8902	Hydra-01079
Orion	-43.2488	15.7734	23.3622	60.2298	384.189	Orion-01080
Lyra	-2.5181	-22.4031	49.7216	56.9976	378.3844	Lyra-01081
Cygnus	67.9505	37.4934	-39.6222	93.8794	455.5127	Cygnus-01082
Hydra	-19.784	-60.433	-30.3564	76.6758	423.1374	Hydra-01083
Orion	-34.1508	31.3262	0.7968	46.4568	353.6018	Orion-01084
Lyra	24.2547	-29.1652	39.089	57.0184	384.0402	Lyra-01085
Cygnus	53.7299	30.5625	-8.6025	68.3192	410.7127	Cygnus-01086
Hydra	-4.7815	-63.7639	-43.3115	78.3105	413.777	Hydra-01087
Orion	-38.2187	14.1722	0.0203	45.8564	351.8316	Orion-01088
Lyra	47.1979	-35.3862	41.1966	76.1539	412.7555	Lyra-01089
Cygnus	70.8687	22.9397	-16.5779	80.1543	422.0246	Cygnus-01090
Hydra	2.584	-57.4361	-37.3673	69.2363	407.8195	Hydra-01091
Orion	-40.5847	11.4163	10.7074	52.0987	375.611	Orion-01092
Lyra	20.0559	-22.8262	24.984	44.8307	361.4119	Lyra-01093
Cygnus	58.3319	37.839	-15.2886	73.1563	419.7492	Cygnus-01094
Hydra	-33.853	-62.0022	-35.0136	79.4995	420.3633	Hydra-01095
Orion	-50.6114	14.6869	-9.9914	54.9778	383.2222	Orion-01096
Lyra	0.901	-50.52	39.2357	70.2733	402.4325	Lyra-01097
Cygnus	68.7847	20.3737	-55.0432	94.8383	449.3358	Cygnus-01098
Hydra	-33.0816	-40.8738	-31.4923	66.1541	388.7495	Hydra-01099
Orion	-18.3675	18.3929	15.9382	35.5961	337.8086	Orion-01100
Lyra	30.1225	-34.1558	40.1442	66.3991	393.9961	Lyra-01101
Cygnus	57.8723	27.9684	-50.0237	82.1723	424.6121	Cygnus-01102
Hydra	-38.7707	-41.6934	-38.0895	68.8545	400.9427	Hydra-01103
Orion	-48.6113	22.7125	3.5902	59.451	374.9653	Orion-01104
Lyra	17.0974	-27.1902	30.0612	45.2515	354.2049	Lyra-01105
Cygnus	57.745	39.1601	-32.1562	77.3916	415.4701	Cygnus-01106
Hydra	-25.9012	-47.6463	-49.3575	77.3732	416.8643	Hydra-01107
Orion	-39.105	17.9394	27.1649	51.2671	375.9252	Orion-01108
Lyra	36.4503	-19.6551	38.467	62.624	386.9554	Lyra-01109
Cygnus	58.0285	24.9394	-46.8831	78.9913	415.6576	Cygnus-01110
Hydra	-5.526	-33.6888	-60.05	69.488	407.492	Hydra-01111
Orion	-44.3296	12.1011	13.9124	50.7775	373.0958	Orion-01112
